iter	Passed	Remaining
489	747	777
490	748	776
491	750	775
492	752	773
493	753	772
494	755	770
495	757	769
496	758	767
497	760	766
498	761	764
499	763	763
500	764	761
501	766	760
502	767	758
503	769	756
504	770	755
505	771	753
506	773	751
507	774	750
508	776	748
509	777	747
510	779	745
511	780	744
512	782	742
513	783	740
514	785	739
515	786	737
516	787	735
517	789	734
518	790	732
519	791	730
520	793	729
521	794	727
522	796	726
523	797	724
524	798	722
525	800	721
526	801	719
527	803	717
528	804	716
529	805	714
530	807	713
531	809	711
532	810	710
533	811	708
534	813	706
535	814	705
536	816	703
537	817	701
538	818	700
539	820	698
540	821	696
541	823	695
542	824	694
543	826	692
544	827	690
545	828	689
546	830	687
547	831	686
548	833	684
549	834	682
550	835	680
551	836	679
552	838	677
553	839	676
554	841	674
555	842	672
556	843	671
557	845	669
558	846	667
559	847	666
560	849	664
561	850	662
562	851	661
563	853	659
564	854	658
565	856	656
566	857	655
567	859	653
568	861	652
569	862	650
570	863	648
571	864	647
572	866	645
573	868	644
574	869	642
575	871	641
576	872	639
577	874	638
578	875	636
579	876	634
580	877	633
581	879	631
582	880	629
583	882	628
584	883	626
585	885	625
586	887	624
587	888	622
588	890	621
589	891	619
590	893	618
591	894	616
592	895	614
593	897	613
594	899	612
595	900	610
596	902	609
597	903	607
598	905	605
599	906	604
600	907	602
601	908	600
602	910	599
603	911	597
604	912	595
605	914	594
606	915	592
607	916	591
608	918	589
609	919	588
610	921	586
611	922	584
612	923	583
613	925	581
614	926	580
615	928	578
616	929	576
617	930	575
618	932	574
619	934	572
620	935	570
621	937	569
622	938	568
623	940	566
624	941	565
625	943	563
626	945	562
627	946	560
628	948	559
629	950	558
630	951	556
631	953	554
632	954	553
633	956	551
634	957	550
635	959	548
636	960	547
637	961	545
638	963	544
639	965	542
640	966	541
641	968	540
642	970	538
643	971	537
644	972	535
645	974	533
646	975	532
647	977	530
648	978	529
649	980	527
650	982	526
651	983	525
652	985	523
653	986	521
654	987	520
655	989	518
656	990	517
657	992	515
658	993	514
659	995	512
660	996	511
661	998	509
662	999	508
663	1001	506
664	1002	505
665	1004	503
666	1005	501
667	1006	500
668	1008	498
669	1010	497
670	1011	496
671	1013	494
672	1014	492
673	1016	491
674	1017	489
675	1018	488
676	1020	486
677	1021	485
678	1022	483
679	1026	483
680	1027	481
681	1029	479
682	1030	478
683	1031	476
684	1033	475
685	1034	473
686	1035	471
687	1037	470
688	1038	468
689	1040	467
690	1041	465
691	1043	464
692	1044	462
693	1046	461
694	1047	459
695	1049	458
696	1050	456
697	1052	455
698	1053	453
699	1055	452
700	1056	450
701	1058	449
702	1059	447
703	1061	446
704	1062	444
705	1064	443
706	1065	441
707	1066	440
708	1068	438
709	1070	437
710	1071	435
711	1073	434
712	1075	432
713	1076	431
714	1077	429
715	1079	428
716	1080	426
717	1082	425
718	1083	423
719	1085	422
720	1086	420
721	1088	419
722	1089	417
723	1091	416
724	1092	414
725	1094	412
726	1095	411
727	1097	409
728	1098	408
729	1100	406
730	1101	405
731	1103	404
732	1105	402
733	1106	401
734	1107	399
735	1109	398
736	1110	396
737	1112	394
738	1113	393
739	1115	391
740	1128	394
741	1130	392
742	1131	391
743	1132	389
744	1134	388
745	1135	386
746	1137	385
747	1138	383
748	1139	381
749	1141	380
750	1142	378
751	1143	377
752	1144	375
753	1146	374
754	1147	372
755	1148	370
756	1150	369
757	1152	367
758	1153	366
759	1154	364
760	1156	363
761	1157	361
762	1159	360
763	1160	358
764	1161	356
765	1163	355
766	1165	353
767	1166	352
768	1168	350
769	1169	349
770	1187	352
771	1188	351
772	1189	349
773	1191	347
774	1192	346
775	1193	344
776	1194	342
777	1196	341
778	1197	339
779	1198	338
780	1199	336
781	1200	334
782	1202	333
783	1203	331
784	1204	329
785	1205	328
786	1206	326
787	1207	324
788	1209	323
789	1210	321
790	1212	320
791	1213	318
792	1214	317
793	1216	315
794	1217	313
795	1218	312
796	1219	310
797	1221	309
798	1222	307
799	1224	306
800	1225	304
801	1226	302
802	1228	301
803	1229	299
804	1231	298
805	1232	296
806	1233	295
807	1234	293
808	1236	291
809	1237	290
810	1239	288
811	1240	287
812	1242	285
813	1243	284
814	1260	286
815	1261	284
816	1263	282
817	1264	281
818	1265	279
819	1266	278
820	1267	276
821	1269	274
822	1270	273
823	1271	271
824	1272	269
825	1274	268
826	1275	266
827	1276	265
828	1278	263
829	1279	262
830	1280	260
831	1281	258
832	1283	257
833	1284	255
834	1285	254
835	1287	252
836	1288	250
837	1290	249
838	1291	247
839	1292	246
840	1294	244
841	1304	244
842	1305	243
843	1307	241
844	1308	240
845	1309	238
846	1310	236
847	1312	235
848	1313	233
849	1314	231
850	1315	230
851	1317	228
852	1318	227
853	1320	225
854	1321	224
855	1323	222
856	1324	220
857	1325	219
858	1327	217
859	1328	216
860	1329	214
861	1330	213
862	1332	211
863	1333	209
864	1335	208
865	1336	206
866	1348	206
867	1350	205
868	1351	203
869	1352	202
870	1354	200
871	1355	198
872	1356	197
873	1357	195
874	1358	194
875	1360	192
876	1361	190
877	1362	189
878	1364	187
879	1365	186
880	1366	184
881	1368	183
882	1369	181
883	1370	179
884	1371	178
885	1373	176
886	1374	175
887	1375	173
888	1377	171
889	1378	170
890	1379	168
891	1380	167
892	1382	165
893	1383	164
894	1384	162
895	1386	160
896	1387	159
897	1388	157
898	1390	156
899	1391	154
900	1392	152
901	1393	151
902	1395	149
903	1396	148
904	1397	146
905	1399	145
906	1400	143
907	1401	142
908	1402	140
909	1404	138
910	1405	137
911	1406	135
912	1408	134
913	1409	132
914	1410	131
915	1412	129
916	1414	127
917	1415	126
918	1416	124
919	1417	123
920	1419	121
921	1420	120
922	1422	118
923	1423	117
924	1424	115
925	1426	113
926	1427	112
927	1428	110
928	1430	109
929	1431	107
930	1433	106
931	1434	104
932	1435	103
933	1436	101
934	1438	99
935	1439	98
936	1441	96
937	1442	95
938	1443	93
939	1445	92
940	1446	90
941	1447	89
942	1449	87
943	1450	86
944	1451	84
945	1453	82
946	1454	81
947	1455	79
948	1457	78
949	1458	76
950	1459	75
951	1461	73
952	1462	72
953	1463	70
954	1464	69
955	1466	67
956	1467	65
957	1468	64
958	1469	62
959	1471	61
960	1472	59
961	1474	58
962	1475	56
963	1476	55
964	1478	53
965	1479	52
966	1480	50
967	1482	48
968	1483	47
969	1484	45
970	1485	44
971	1487	42
972	1488	41
973	1490	39
974	1491	38
975	1492	36
976	1494	35
977	1495	33
978	1496	32
979	1497	30
980	1499	29
981	1500	27
982	1501	25
983	1503	24
984	1504	22
985	1505	21
986	1507	19
987	1508	18
988	1510	16
989	1511	15
990	1512	13
991	1513	12
992	1515	10
993	1516	9
994	1517	7
995	1519	6
996	1520	4
997	1522	3
998	1523	1
999	1524	0
